ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert
2024-08-15 00:10:47.757375956,CnWCz94PLXo8521D8d,10.8.15.133,49763,20.42.72.131,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,browser.events.data.msn.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:47.835098982,Cap73v21d5I6YqDpnj,10.8.15.133,49771,204.79.197.203,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,api.msn.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:47.821903944,CagIKf2QrE6xgGx6ik,10.8.15.133,49766,20.125.209.212,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,c.msn.com,F,-,h2,T,CsxuknGIi,"dffea115b69f056e29e5c26f1be40c8c8fde135f605731ce2f14d287cd07189a,33f9731be910a66dc6acd07d9d9ca212ee8d0a9a5c78c8bf3e89bb74df8fb936",(empty),T
2024-08-15 00:10:48.494630098,Cxkl8141FDtkb1snNi,10.8.15.133,49772,13.107.246.57,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,edge-consumer-static.azureedge.net,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:49.064440966,Cp4UDJwupgegYjkv2,10.8.15.133,49773,204.79.197.203,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,srtb.msn.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:49.739700079,CKYkkf35AVWl9doXdk,10.8.15.133,49775,23.220.103.8,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,r.bing.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:10:49.780710936,CCSDce3ncd9oppIudb,10.8.15.133,49776,23.220.103.8,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,r.bing.com,F,-,-,T,CsiI,-,-,-
2024-08-15 00:10:49.765408993,CdrS512hscVVAEtHnd,10.8.15.133,49774,204.79.197.219,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,r.msftstatic.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:49.813502073,CrImSb1alAPZ4Qyl9,10.8.15.133,49777,204.79.197.219,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,r.msftstatic.com,F,-,-,T,CjiICs,-,-,-
2024-08-15 00:10:50.553411007,CJ833s30VuevvA43ni,10.8.15.133,49778,23.43.244.167,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,ecn-us.dev.virtualearth.net,F,-,-,T,CsiI,-,-,-
2024-08-15 00:10:55.749002934,ChZvQ41B7K6nbYF1Id,10.8.15.133,49781,20.42.72.131,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,browser.events.data.msn.com,F,-,-,T,CjiICs,-,-,-
