ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,label
2025-01-22 20:24:06.222069979,CONxsx3pppjMKrbMml,10.1.17.215,49870,20.189.173.16,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,mobile.events.data.microsoft.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:24:30.423882008,CIxWvO1TBJjNGjjIn5,10.1.17.215,49875,40.126.29.9,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,login.microsoftonline.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:25:17.110709906,C23Zsr49To6DlawAt9,10.1.17.215,49877,45.125.66.32,2917,TLSv12,TLS_RSA_WITH_AES_128_GCM_SHA256,-,45.125.66.32,F,-,-,T,CsxnGIi,05be53fe3e0bcd74e166963f3e703d095346a89d37da3546d96bc2462319dbb7,(empty),F,0
2025-01-22 20:25:27.546338081,CZwdFmftOEre3aLm2,10.1.17.215,49883,142.250.113.113,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,clients2.google.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:25:27.516066074,CDZSXNy8N03Opj5Pl,10.1.17.215,49881,13.107.246.57,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,static.edge.microsoftapp.net,F,-,-,T,CjiICs,-,-,-,0
2025-01-22 20:25:27.519037961,CWIM55M4FB06dupoh,10.1.17.215,49880,13.107.42.16,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,config.edge.skype.com,F,-,-,T,CjiICs,-,-,-,0
2025-01-22 20:25:27.531451941,CTpT1A2lIkGHMDBMa7,10.1.17.215,49882,204.79.197.239,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,F,-,h2,T,CsxuknGIti,"d65fa2a87698491bc906bc781eb57c8d64a83978275df3ff67abf7ea5267c386,9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed",(empty),T,0
2025-01-22 20:25:27.740947962,CFV9k124tv4OTMgQR5,10.1.17.215,49890,40.126.29.9,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,login.microsoftonline.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:25:28.301877022,CAPuafBCvgffnbiig,10.1.17.215,49896,142.250.113.100,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,clients2.google.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:25:28.244534016,CqgR7E4MDm7kW5yZQ9,10.1.17.215,49893,13.107.246.57,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,static.edge.microsoftapp.net,F,-,-,T,CjiICs,-,-,-,0
2025-01-22 20:25:28.248883963,CuvSfi2laCjiDjNi0j,10.1.17.215,49894,13.107.42.16,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,config.edge.skype.com,F,-,-,T,CjiICs,-,-,-,0
2025-01-22 20:25:28.286950111,CcKapr19HcyLod9aI7,10.1.17.215,49895,13.107.21.239,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,F,-,h2,T,CsxuknGIti,"d65fa2a87698491bc906bc781eb57c8d64a83978275df3ff67abf7ea5267c386,9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed",(empty),T,0
2025-01-22 20:25:28.530311108,CuPAqFWW2PMlHqzok,10.1.17.215,49903,40.126.29.9,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,login.microsoftonline.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:25:28.541574955,CEGDhF3msswDNBMkyc,10.1.17.215,49904,142.250.115.132,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,clients2.googleusercontent.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:25:29.640187025,CzWFmO1tSbUsG57GJa,10.1.17.215,49908,45.125.66.32,2917,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,secp521r1,45.125.66.32,F,-,-,T,CsxknGIi,05be53fe3e0bcd74e166963f3e703d095346a89d37da3546d96bc2462319dbb7,(empty),F,0
2025-01-22 20:25:28.517096996,C7xGh4LgJl5F6yNmk,10.1.17.215,49902,13.107.246.57,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,edge-mobile-static.azureedge.net,F,-,-,F,CjiICs,-,-,-,0
2025-01-22 20:25:38.427310944,CmJvij496f5LUVTLgg,10.1.17.215,49909,45.125.66.32,2917,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,secp521r1,45.125.66.32,F,-,-,T,CsxknGIi,05be53fe3e0bcd74e166963f3e703d095346a89d37da3546d96bc2462319dbb7,(empty),F,0
2025-01-22 20:25:42.756814957,CGvvD91cyYUhDI6LCj,10.1.17.215,49910,45.125.66.252,443,TLSv12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,secp521r1,-,F,-,-,T,CsxknGIti,5d2dad692e2ed31b72f4b251da71588a08ed3ac33d0b41bc83e4fb0b9d58ddff,(empty),-,0
2025-01-22 20:28:01.482342005,CS0RxQRMIyuUDjXI,10.1.17.215,49912,45.125.66.32,2917,TLSv12,TLS_RSA_WITH_AES_128_GCM_SHA256,-,45.125.66.32,F,-,-,T,CsxnGIi,05be53fe3e0bcd74e166963f3e703d095346a89d37da3546d96bc2462319dbb7,(empty),F,0
2025-01-22 20:28:10.106239080,CKlvya1ZWZH8DlRajh,10.1.17.215,49920,20.241.44.114,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,g.live.com,F,-,h2,T,CsxuknGIi,"fc874237221d004abd0cac814f94a4f8dd39b07808d29501c4fa2efcfc5c9a5e,33f9731be910a66dc6acd07d9d9ca212ee8d0a9a5c78c8bf3e89bb74df8fb936",(empty),T,0
2025-01-22 20:28:10.463747025,Cov1Ww2SyXV1heMkO4,10.1.17.215,49921,23.41.241.15,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,oneclient.sfx.ms,F,-,http/1.1,T,CsxuknGIti,"cc774afaa1a20ea56c2b0df8a3e2ff49225fff7ae5025cd1f22e21963b01ad6f,724247794951c93f3e41711617e95ce143263e3196c345a1da78f6639749ec03,cb3ccbb76031e5e0138f8dd39a23f9de47ffc35e43c1144cea27d46a5ab1cb5f",(empty),T,0
2025-01-22 20:28:11.603414059,CTf4ZdeEewpQV4Bl6,10.1.17.215,49925,13.107.246.57,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,static.edge.microsoftapp.net,F,-,-,T,CjiICs,-,-,-,0
2025-01-22 20:28:11.685570955,CY7IheGVYUUUWrgSd,10.1.17.215,49927,142.250.114.100,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,clients2.google.com,F,-,-,T,CsiI,-,-,-,0
2025-01-22 20:28:11.602684021,CYdcoB23x4gC94opQ,10.1.17.215,49924,13.107.42.16,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,config.edge.skype.com,F,-,-,T,CjiICs,-,-,-,0
2025-01-22 20:28:11.677639008,CxAcBm434JeXHYaJw2,10.1.17.215,49926,204.79.197.239,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,F,-,h2,T,CsxuknGIti,"d65fa2a87698491bc906bc781eb57c8d64a83978275df3ff67abf7ea5267c386,9d1bc5d2dd75bf8b64f35e7f919e2546c225be888c1a8cbe82c0e9579234a7ed",(empty),T,0
2025-01-22 20:28:11.990317106,Cxb99u1kvsxrGYpjge,10.1.17.215,49933,40.126.29.10,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,login.microsoftonline.com,F,-,-,T,CsiI,-,-,-,0
